dt,age_cd,sex_cd,home_sido_nm,h0d0h0_dur_r,h0d0h1_dur_r,h0d1h0_dur_r,h0d1h1_dur_r,h1d0h0_dur_r,h1d0h1_dur_r,h1d1h0_dur_r,h1d1h1_dur_r
20200914,\N,\N,경상북도,0.164208344,0.8356776,0.422828369,0.577057575,0.183201964,0.816621153,0.35593961,0.643883507
20200914,\N,\N,경상남도,0.158837404,0.841072974,0.431783928,0.56812645,0.174880634,0.824966568,0.342608712,0.65723849
20200914,\N,\N,경기도,0.154727965,0.845269077,0.438686227,0.561310814,0.165673689,0.834321503,0.314154618,0.685840574
20200914,\N,\N,강원도,0.148197584,0.851572227,0.38937657,0.610393241,0.169878369,0.829808449,0.327104103,0.672581149
20200914,\N,\N,\N,0.150233795,0.849636065,0.424249122,0.575620786,0.164736111,0.83506868,0.318531309,0.681273338
20200921,0,\N,\N,0.059331367,0.937956533,0.105281424,0.892006477,0.117875584,0.873226084,0.184656461,0.806437269
20200921,10,\N,\N,0.092289733,0.907620774,0.214017243,0.785892741,0.110005924,0.889861668,0.192156708,0.807710884
20200921,20,\N,\N,0.180026844,0.819904428,0.407523887,0.592407384,0.220615027,0.779337049,0.320593575,0.679358501
20200921,30,\N,\N,0.175458312,0.824504284,0.51522726,0.484735335,0.200858907,0.79910958,0.352164855,0.647803631
20200921,40,\N,\N,0.165939829,0.834044789,0.527104772,0.472879846,0.166681405,0.83330153,0.344880168,0.655102768
20200921,50,\N,\N,0.166585901,0.83339562,0.520869415,0.479112107,0.162998814,0.836979627,0.37681366,0.623164524
20200921,60,\N,\N,0.137813128,0.862154214,0.412231511,0.587735831,0.139230006,0.860739377,0.332071223,0.66789816
20200921,70,\N,\N,0.087885027,0.912022372,0.253215471,0.746691929,0.090980744,0.908873645,0.211481127,0.788373262
20200921,\N,1,\N,0.18075542,0.819141097,0.500135245,0.499761272,0.186834656,0.81294936,0.35755292,0.642231002
20200921,\N,2,\N,0.119773487,0.880150825,0.368808472,0.631115741,0.137975967,0.861827046,0.281426479,0.718376237
20200921,\N,\N,충청북도,0.151423145,0.848459761,0.425012871,0.574870035,0.169340508,0.83033319,0.336782379,0.662891318
20200921,\N,\N,충청남도,0.162305461,0.837617048,0.439580652,0.560341857,0.180210251,0.819541779,0.347596732,0.652155299
20200921,\N,\N,제주특별자치도,0.168485308,0.830271822,0.446352516,0.552404614,0.181236571,0.817289129,0.372238973,0.626278156
20200921,\N,\N,전라북도,0.158134715,0.841686535,0.431995309,0.567825941,0.238404116,0.761186641,0.416799257,0.5827915
20200921,\N,\N,전라남도,0.172631856,0.827235694,0.439150856,0.560715342,0.260026058,0.739710394,0.415040971,0.58469548
20200921,\N,\N,인천광역시,0.153080976,0.846837091,0.446236926,0.553681141,0.151521025,0.848301603,0.301116446,0.698706183
20200921,\N,\N,울산광역시,0.163129102,0.836491035,0.435536609,0.564081429,0.170030322,0.829363156,0.336081997,0.663313579
20200921,\N,\N,세종특별자치시,0.148593039,0.849494411,0.437979604,0.560107846,0.178080814,0.818154324,0.337526625,0.658708514
